timestamp,machine_id,accuracy
2026-05-18 09:03:59,M1,1.0
2026-05-18 09:03:59,M2,0.9938650306748467
2026-05-18 09:03:59,M3,1.0
2026-05-18 09:04:10,M1,1.0
2026-05-18 09:04:10,M2,0.9938650306748467
2026-05-18 09:04:10,M3,1.0
2026-05-18 09:04:20,M1,1.0
2026-05-18 09:04:20,M2,0.9939024390243902
2026-05-18 09:04:20,M3,1.0
2026-05-18 09:04:31,M1,1.0
2026-05-18 09:04:31,M2,0.9939024390243902
2026-05-18 09:04:31,M3,1.0
2026-05-18 09:04:41,M1,1.0
2026-05-18 09:04:42,M2,0.9939024390243902
2026-05-18 09:04:42,M3,1.0
2026-05-18 09:04:53,M1,1.0
2026-05-18 09:04:53,M2,0.9939024390243902
2026-05-18 09:04:53,M3,1.0
2026-05-18 09:05:04,M1,1.0
2026-05-18 09:05:04,M2,0.9939393939393939
2026-05-18 09:05:04,M3,1.0
2026-05-18 09:05:15,M1,1.0
2026-05-18 09:05:15,M2,0.9939393939393939
2026-05-18 09:05:15,M3,1.0
2026-05-18 09:05:26,M1,1.0
2026-05-18 09:05:26,M2,0.9939393939393939
2026-05-18 09:05:26,M3,1.0
2026-05-18 09:05:37,M1,1.0
2026-05-18 09:05:37,M2,0.9939759036144579
2026-05-18 09:05:37,M3,1.0
2026-05-18 09:05:48,M1,1.0
2026-05-18 09:05:48,M2,0.9939759036144579
2026-05-18 09:05:48,M3,1.0
2026-05-18 09:05:59,M1,1.0
2026-05-18 09:05:59,M2,0.9939759036144579
2026-05-18 09:05:59,M3,1.0
2026-05-18 09:06:04,M1,1.0
2026-05-18 09:06:04,M2,0.9939759036144579
2026-05-18 09:06:05,M3,1.0
2026-05-18 09:06:15,M1,1.0
2026-05-18 09:06:15,M2,0.9940119760479041
2026-05-18 09:07:09,M1,1.0
2026-05-18 09:07:09,M2,0.9940828402366864
2026-05-18 09:07:09,M3,1.0
2026-05-18 09:07:20,M1,1.0
2026-05-18 09:07:20,M2,0.9940828402366864
2026-05-18 09:07:20,M3,1.0
2026-05-18 09:07:31,M1,1.0
2026-05-18 09:07:31,M2,0.9940828402366864
2026-05-18 09:07:31,M3,1.0
2026-05-18 09:07:42,M1,1.0
2026-05-18 09:07:43,M2,0.9940828402366864
2026-05-18 09:07:43,M3,1.0
2026-05-18 09:07:54,M1,1.0
2026-05-18 09:07:54,M2,0.9941176470588236
2026-05-18 09:07:54,M3,1.0
2026-05-18 09:08:05,M1,1.0
2026-05-18 09:08:05,M2,0.9941176470588236
2026-05-18 09:08:05,M3,1.0
2026-05-18 09:08:16,M1,1.0
2026-05-18 09:08:16,M2,0.9941176470588236
2026-05-18 09:08:16,M3,1.0
2026-05-25 18:08:38,M1,1.0
2026-05-25 18:08:39,M2,0.9941520467836257
2026-05-25 18:08:39,M3,1.0
2026-05-25 18:08:49,M1,1.0
2026-05-25 18:08:50,M2,0.9941520467836257
2026-05-25 18:08:50,M3,1.0
2026-05-25 18:09:00,M1,1.0
2026-05-25 18:09:01,M2,0.9941520467836257
2026-05-25 18:09:01,M3,1.0
2026-05-25 18:09:12,M1,1.0
2026-05-25 18:09:12,M2,0.9941520467836257
2026-05-25 18:09:12,M3,1.0
